feature,shap_importance
Column18,3.240803660925466
Column1,0.64099869371788
Column7,0.12374328570788473
Column17,0.08284102800882029
Column8,0.07855614787437837
Column4,0.055195016731832275
Column5,0.0528471995464779
Column6,0.0517745964289782
Column2,0.04787391069060593
Column3,0.0374834963858579
Column0,0.03444772374092419
Column14,0.02367801270334544
Column11,0.018953548335688096
Column9,0.014557616514096108
Column12,0.01276805925420498
Column15,0.010562508552269872
Column19,0.007572284256056662
Column13,0.007159114682306355
Column10,0.007093148760621141
Column20,0.002073890766398477
Column16,0.0003983553087645589
Column21,0.0002954870698324366
