feature,shap_importance
Column18,8.720156
Column1,1.060503
Column7,0.15707828
Column17,0.13988882
Column4,0.12521306
Column8,0.1105206
Column2,0.09933376
Column6,0.09552576
Column5,0.09301931
Column3,0.07318878
Column14,0.056018367
Column12,0.05111195
Column0,0.049192272
Column9,0.03676347
Column11,0.034765232
Column13,0.028969938
Column10,0.027787149
Column19,0.018037515
Column15,0.014793565
Column20,0.007403579
Column21,0.0031635663
Column16,0.0016079161
