feature,shap_importance
Column18,3.0500569901840593
Column1,0.574992356473348
Column17,0.08064544995458169
Column7,0.07402519353407636
Column8,0.06030839279268563
Column4,0.046431688067529064
Column5,0.034097546389366025
Column3,0.0298412920736078
Column2,0.021213225099608782
Column14,0.01818743105446239
Column6,0.016245289182539903
Column12,0.009595056400161419
Column0,0.009285395407918418
Column11,0.008196600159150306
Column9,0.00791758601199534
Column19,0.007817218000754557
Column10,0.0055923186927014385
Column15,0.004632549517494615
Column13,0.0032237597668898087
Column20,0.001694464868550343
Column21,0.00032040631392932245
Column16,0.00025215651766502447
