feature,shap_importance
Column18,9.213178
Column1,0.87900263
Column7,0.17981106
Column6,0.11629675
Column17,0.116165206
Column4,0.106879056
Column2,0.1056198
Column5,0.10297026
Column8,0.09586094
Column3,0.08172947
Column14,0.06836491
Column0,0.060311437
Column12,0.045608032
Column13,0.03576941
Column11,0.035036523
Column9,0.027438372
Column10,0.024842799
Column15,0.023387361
Column19,0.017894177
Column20,0.0071147727
Column21,0.0024002409
Column16,0.0014781563
